Date,Open,High,Low,Close,Adj Close,Volume
01-08-2019,10077.44238,10446.91992,9922.019531,10399.66895,10399.66895,17165337858
02-08-2019,10402.04297,10657.95313,10371.01367,10518.17481,10518.17481,17489094082
03-08-2019,10519.27832,10946.78125,10503.50488,10821.72656,10821.72656,15352685061
04-08-2019,10821.63281,11009.20703,10620.27832,10970.18457,10970.18457,16530894787
05-08-2019,10960.73535,11895.0918,10960.73535,11805.65332,11805.65332,23875988832
06-08-2019,11811.54492,12273.82129,11290.73145,11478.16895,11478.16895,23635107660
07-08-2019,11476.19336,12036.99023,11433.70117,11941.96875,11941.96875,22194988641
08-08-2019,11954.04004,11979.41992,11556.16797,11966.40723,11966.40723,19481591730
09-08-2019,11953.46973,11970.45801,11709.74512,11862.93652,11862.93652,18339989960
10-08-2019,11861.55664,11915.65527,11323.89844,11354.02441,11354.02441,18125355447
11-08-2019,11349.74023,11523.5791,11248.29492,11523.5791,11523.5791,15774371518
12-08-2019,11528.18945,11528.18945,11320.95117,11382.61621,11382.61621,13647198229
13-08-2019,11385.05273,11420.04981,10830.32715,10895.83008,10895.83008,16681503537
14-08-2019,10889.48731,10889.55664,10028.13574,10051.7041,10051.7041,19990838300
15-08-2019,10038.42188,10437.41113,9675.316406,10311.5459,10311.5459,22899115082
16-08-2019,10319.41992,10524.34961,9855.478516,10374.33887,10374.33887,20228207096
17-08-2019,10358.72266,10452.625,10086.69824,10231.74414,10231.74414,13778035685
18-08-2019,10233.00586,10487.07031,10119.09473,10345.81055,10345.81055,12999813869
19-08-2019,10350.2832,10916.05371,10313.2041,10916.05371,10916.05371,16038264603
20-08-2019,10916.34668,10947.04199,10618.96094,10763.23242,10763.23242,15053082175
21-08-2019,10764.57227,10798.72949,9962.72168,10138.04981,10138.04981,19473084768
22-08-2019,10142.52148,10232.99609,9831.462891,10131.05566,10131.05566,17097508856
23-08-2019,10136.30957,10442.44336,10078.19238,10407.96484,10407.96484,15627023886
24-08-2019,10407.64453,10418.02051,9982.296875,10159.96094,10159.96094,15451030650
25-08-2019,10160.73731,10304.62207,10008.78906,10138.51758,10138.51758,14153856610
26-08-2019,10126.29981,10512.32813,10126.29981,10370.82031,10370.82031,18438654080
27-08-2019,10372.82617,10381.32813,10087.30078,10185.5,10185.5,14762609503
28-08-2019,10203.42676,10279.36621,9716.65625,9754.422852,9754.422852,17603790323
29-08-2019,9756.786133,9756.786133,9421.629883,9510.200195,9510.200195,17045878501
30-08-2019,9514.844727,9656.124023,9428.302734,9598.173828,9598.173828,13595263986
31-08-2019,9597.539063,9673.220703,9531.799805,9630.664063,9630.664063,11454806419
01-09-2019,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859
02-09-2019,9757.473633,10396.5918,9730.650391,10346.76074,10346.76074,17248102294
03-09-2019,10345.72559,10736.10449,10308.54785,10623.54004,10623.54004,19384917989
